@jorek_model:   199
@n_tor:     3
@n_plane:     4
@n_period:     1
@plottable: energies growth_rates times
@variable_names: Flux        Potential   Current     Vorticity   Density     Temperature
@n_times:     1
@times_xlabel: time step
@times_ylabel: normalized time
@times: "step"     "time"
@n_energies:     6
@energies_xlabel: normalized time
@energies_ylabel: normalized energy
@energies: "time"           "E_{mag,00,cos}" "E_{mag,01,cos}" "E_{mag,01,sin}" "E_{kin,00,cos}" "E_{kin,01,cos}" "E_{kin,01,sin}" 
@n_growth_rates:     6
@growth_rates_xlabel: normalized time
@growth_rates_ylabel: normalized growth rate
@growth_rates: "time"           "G_{mag,00,cos}" "G_{mag,01,cos}" "G_{mag,01,sin}" "G_{kin,00,cos}" "G_{kin,01,cos}" "G_{kin,01,sin}" 
@growth_rates:  7.050000000E+04 -4.414066446E-12  3.463590282E-04  3.463590293E-04 -1.803386873E-05  3.464812549E-04  3.464812573E-04
@times:    72   7.200000000E+04
@energies:  7.200000000E+04  2.012237714E-02  3.835821491E-12  3.835822116E-12  1.937968573E-15  1.693812527E-12  1.693798323E-12
@growth_rates:  7.150000000E+04 -4.453969193E-12  3.464332883E-04  3.464332872E-04 -1.682028268E-05  3.465518631E-04  3.465518612E-04
@times:    73   7.300000000E+04
@energies:  7.300000000E+04  2.012237695E-02  7.670579923E-12  7.670581190E-12  1.822393119E-15  3.387872418E-12  3.387844023E-12
@growth_rates:  7.250000000E+04 -4.597991543E-12  3.465043005E-04  3.465043017E-04 -3.074487949E-05  3.466100990E-04  3.466101013E-04
@times:    74   7.400000000E+04
@energies:  7.400000000E+04  2.012237675E-02  1.534088650E-11  1.534088900E-11  1.863063959E-15  6.776747099E-12  6.776690286E-12
@growth_rates:  7.350000000E+04 -4.918341956E-12  3.465646814E-04  3.465646803E-04  1.103594210E-05  3.466475444E-04  3.466475433E-04
@times:    75   7.500000000E+04
@energies:  7.500000000E+04  2.012237653E-02  3.068352373E-11  3.068352881E-11  1.729412871E-15  1.355520507E-11  1.355509150E-11
@growth_rates:  7.450000000E+04 -5.587379670E-12  3.466021199E-04  3.466021212E-04 -3.722022622E-05  3.466367017E-04  3.466367043E-04
@times:    76   7.600000000E+04
@energies:  7.600000000E+04  2.012237625E-02  6.136995305E-11  6.136996306E-11  1.891086985E-15  2.710848353E-11  2.710825644E-11
@growth_rates:  7.550000000E+04 -6.990535262E-12  3.465972635E-04  3.465972623E-04  4.468490919E-05  3.465380564E-04  3.465380570E-04
@times:    77   7.700000000E+04
@energies:  7.700000000E+04  2.012237585E-02  1.227229366E-10  1.227229569E-10  1.757412228E-15  5.418240374E-11  5.418195038E-11
@growth_rates:  7.650000000E+04 -9.786709443E-12  3.465044576E-04  3.465044589E-04 -3.665469305E-05  3.462547387E-04  3.462547435E-04
@times:    78   7.800000000E+04
@energies:  7.800000000E+04  2.012237523E-02  2.452814527E-10  2.452814928E-10  2.054868116E-15  1.081568069E-10  1.081559032E-10
@growth_rates:  7.750000000E+04 -1.545434469E-11  3.462385357E-04  3.462385345E-04  7.818463344E-05  3.456129440E-04  3.456129502E-04
@times:    79   7.900000000E+04
@energies:  7.900000000E+04  2.012237416E-02  4.896345344E-10  4.896346159E-10  2.014289079E-15  2.153100045E-10  2.153082119E-10
@growth_rates:  7.850000000E+04 -2.666618126E-11  3.456264634E-04  3.456264649E-04 -9.972675169E-06  3.442483908E-04  3.442484055E-04
@times:    80   8.000000000E+04
@energies:  8.000000000E+04  2.012237219E-02  9.748841865E-10  9.748843466E-10  2.796224504E-15  4.262450143E-10  4.262414880E-10
@growth_rates:  7.950000000E+04 -4.884210547E-11  3.443297080E-04  3.443297070E-04  1.640018986E-04  3.414677304E-04  3.414677567E-04
@times:    81   8.100000000E+04
