@jorek_model:   302
@n_tor:     3
@n_plane:     8
@n_period:     8
@plottable: energies growth_rates times
@variable_names: Flux        Potential   Current     Vorticity   Density     Temperature V_parallel 
@n_times:     1
@times_xlabel: time step
@times_ylabel: normalized time
@times: "step"     "time"
@n_energies:     6
@energies_xlabel: normalized time
@energies_ylabel: normalized energy
@energies: "time"           "E_{mag,00,cos}" "E_{mag,08,cos}" "E_{mag,08,sin}" "E_{kin,00,cos}" "E_{kin,08,cos}" "E_{kin,08,sin}" 
@n_growth_rates:     6
@growth_rates_xlabel: normalized time
@growth_rates_ylabel: normalized growth rate
@growth_rates: "time"           "G_{mag,00,cos}" "G_{mag,08,cos}" "G_{mag,08,sin}" "G_{kin,00,cos}" "G_{kin,08,cos}" "G_{kin,08,sin}" 
@times:    45   3.800000000E+01
@energies:  3.800000000E+01  1.844736950E-01  3.501087219E-26  3.500378394E-26  1.927956253E-07  1.646310902E-26  1.643140888E-26
@growth_rates:  3.550000000E+01 -3.412474020E-07  2.657422772E-01  2.689894808E-01  2.043477377E-02 -3.852318115E-03 -4.382521729E-03
@times:    46   4.300000000E+01
@energies:  4.300000000E+01  1.844725628E-01  8.711792780E-26  8.717417199E-26  2.083270549E-07  2.575932363E-26  2.569963630E-26
@growth_rates:  4.050000000E+01 -6.137454861E-07  9.116040454E-02  9.124519261E-02  7.747853283E-03  4.476745833E-02  4.472821614E-02
@times:    47   4.800000000E+01
@energies:  4.800000000E+01  1.844691957E-01  1.952884144E-26  1.874697668E-26  1.975375263E-07  3.419599667E-26  3.421163442E-26
@growth_rates:  4.550000000E+01 -1.825280476E-06 -1.495370272E-01 -1.536875599E-01 -5.318065134E-03  2.833119367E-02  2.860889339E-02
@times:    48   5.300000000E+01
@energies:  5.300000000E+01  1.844681384E-01  6.812805027E-26  6.733623969E-26  1.988487251E-07  2.760319186E-26  2.751395009E-26
@growth_rates:  5.050000000E+01 -5.731212078E-07  1.249496605E-01  1.278666076E-01  6.615787580E-04 -2.141771677E-02 -2.178726217E-02
@times:    49   5.800000000E+01
